Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,39:36,9,20,.450,0,4,.000,11,12,.917,1,11,12,5,1,0,4,2,29,-10
Kyle Lowry\lowryky01,38:40,5,11,.455,3,7,.429,0,0,,1,4,5,6,1,0,1,3,13,-11
Marc Gasol\gasolma01,35:31,3,8,.375,0,3,.000,1,2,.500,1,2,3,4,1,2,1,4,7,-14
Danny Green\greenda02,34:58,2,8,.250,2,8,.250,2,3,.667,1,2,3,1,1,0,2,3,8,-9
Pascal Siakam\siakapa01,33:18,8,16,.500,2,6,.333,3,4,.750,4,2,6,3,2,0,3,3,21,-21
Serge Ibaka\ibakase01,21:58,3,10,.300,0,3,.000,3,4,.750,0,3,3,1,0,1,1,6,9,-12
Fred VanVleet\vanvlfr01,15:44,0,1,.000,0,1,.000,1,2,.500,1,1,2,3,1,0,0,1,1,-4
Norman Powell\powelno01,9:07,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,5,+6
Patrick McCaw\mccawpa01,4:02,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+4
Malcolm Miller\millema01,3:33,2,3,.667,1,2,.500,1,2,.500,0,0,0,1,0,1,0,0,6,+8
Jodie Meeks\meeksjo01,3:33,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,+8
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,81,.432,9,36,.250,22,29,.759,9,25,34,25,9,4,12,24,101,